Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 65.0.3325.181,,2561-03-31 20:20:20,2561-03-31 20:21:35,1m - 14.309s,PASSED
,,,,,,
Test Cases/Login/Login01,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01 \u0E23\u0E2B\u0E31\u0E2A\u0E2A\u0E21\u0E32\u0E0A\u0E34\u0E01 \u0E41\u0E25\u0E30\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E43\u0E2B\u0E49\u0E16\u0E39\u0E01\u0E15\u0E49\u0E2D\u0E07,2561-03-31 20:20:21,2561-03-31 20:20:45,23.687s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-31 20:20:22,2561-03-31 20:20:37,15.037s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-31 20:20:37,2561-03-31 20:20:42,5.632s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:20:42,2561-03-31 20:20:43,0.417s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:20:43,2561-03-31 20:20:43,0.165s,PASSED
click,Chrome 65.0.3325.181,,2561-03-31 20:20:43,2561-03-31 20:20:44,1.100s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-31 20:20:44,2561-03-31 20:20:45,0.917s,PASSED
,,,,,,
Test Cases/Login/Login02,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01 \u0E23\u0E2B\u0E31\u0E2A\u0E2A\u0E21\u0E32\u0E0A\u0E34\u0E01\u0E1C\u0E34\u0E14\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E43\u0E2B\u0E49\u0E16\u0E39\u0E01\u0E15\u0E49\u0E2D\u0E07,2561-03-31 20:20:45,2561-03-31 20:21:01,16.273s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-31 20:20:45,2561-03-31 20:20:54,9.298s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-31 20:20:54,2561-03-31 20:20:59,4.488s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:20:59,2561-03-31 20:20:59,0.393s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:20:59,2561-03-31 20:20:59,0.158s,PASSED
click,Chrome 65.0.3325.181,,2561-03-31 20:20:59,2561-03-31 20:21:00,0.656s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-03-31 20:21:00,2561-03-31 20:21:00,0.100s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-31 20:21:00,2561-03-31 20:21:01,0.969s,PASSED
,,,,,,
Test Cases/Login/Login03,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01 \u0E23\u0E2B\u0E31\u0E2A\u0E2A\u0E21\u0E32\u0E0A\u0E34\u0E01\u0E16\u0E39\u0E01\u0E15\u0E49\u0E2D\u0E07 \u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E1C\u0E34\u0E14,2561-03-31 20:21:01,2561-03-31 20:21:15,14.144s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-31 20:21:01,2561-03-31 20:21:07,5.790s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-31 20:21:07,2561-03-31 20:21:13,6.095s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:21:13,2561-03-31 20:21:13,0.263s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:21:13,2561-03-31 20:21:14,0.140s,PASSED
click,Chrome 65.0.3325.181,,2561-03-31 20:21:14,2561-03-31 20:21:14,0.734s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-03-31 20:21:14,2561-03-31 20:21:14,0.064s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-31 20:21:14,2561-03-31 20:21:15,0.891s,PASSED
,,,,,,
Test Cases/Login/Login04,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01 \u0E23\u0E2B\u0E31\u0E2A\u0E2A\u0E21\u0E32\u0E0A\u0E34\u0E01 \u0E41\u0E25\u0E30\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E17\u0E35\u0E48\u0E22\u0E31\u0E07\u0E44\u0E21\u0E48\u0E40\u0E04\u0E22\u0E25\u0E07\u0E17\u0E30\u0E40\u0E1A\u0E35\u0E22\u0E19,2561-03-31 20:21:15,2561-03-31 20:21:34,19.209s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-31 20:21:15,2561-03-31 20:21:19,3.978s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-31 20:21:19,2561-03-31 20:21:32,12.261s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:21:32,2561-03-31 20:21:32,0.464s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:21:32,2561-03-31 20:21:32,0.170s,PASSED
click,Chrome 65.0.3325.181,,2561-03-31 20:21:32,2561-03-31 20:21:34,1.239s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-03-31 20:21:34,2561-03-31 20:21:34,0.069s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-31 20:21:34,2561-03-31 20:21:34,0.861s,PASSED
